Date,Open,High,Low,Close,Adj Close,Volume
2017-03-28,14.203333,14.595,14.115,14.471667,14.441793,21000000
2017-03-29,14.485,14.683333,14.451667,14.663333,14.633063,12042600
2017-03-30,14.658333,14.785,14.61,14.736667,14.706246,13231800
2017-03-31,14.671667,14.82,14.623333,14.701667,14.671319,13536600
2017-04-03,14.745,14.846667,14.436667,14.67,14.639718,16130400
2017-04-04,14.541667,14.748333,14.531667,14.736667,14.706246,8106000
2017-04-05,14.808333,15.063333,14.481667,14.568333,14.53826,18340200
2017-04-06,14.618333,14.701667,14.475,14.58,14.549903,15412800
2017-04-07,14.57,14.695,14.405,14.563333,14.53327,10393800
2017-04-10,14.613333,14.755,14.455,14.58,14.549903,12094200
2017-04-11,14.523333,14.596667,14.071667,14.396667,14.366947,21336600
2017-04-12,14.38,14.41,14.163333,14.206667,14.177341,17023800
2017-04-13,14.15,14.395,14.03,14.038333,14.009355,15342600
2017-04-17,14.156667,14.39,14.14,14.371667,14.342001,9083400
2017-04-18,14.238333,14.446667,14.211667,14.33,14.300419,12688800
2017-04-19,14.495,14.636667,14.32,14.38,14.350316,14392200
2017-04-20,14.555,14.833333,14.488333,14.728333,14.69793,20623200
2017-04-21,14.776667,14.795,14.62,14.721667,14.691278,13506600
2017-04-24,15.208333,15.3,15.143333,15.256667,15.225173,15018000
2017-04-25,15.408333,15.671667,15.373333,15.595,15.562809,16028400
2017-04-26,15.61,15.721667,15.493333,15.526667,15.494615,21915000
2017-04-27,15.643333,15.8,15.605,15.798333,15.765721,14419200
2017-04-28,15.99,16.008333,15.808333,15.888333,15.855536,17125200
2017-05-01,16.035,16.370001,16.014999,16.288334,16.254711,16158600
2017-05-02,16.368334,16.408333,16.243334,16.385,16.351177,15103200
2017-05-03,16.285,16.286667,16.091667,16.223333,16.189844,18396600
